id,c
0,1
1,1
2,0
3,1
4,0
5,1
6,1
7,0
8,0
9,1
10,0
11,0
12,1
13,1
14,0
15,0
16,1
17,0
18,1
19,0
20,1
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,1
29,1
30,1
31,0
32,1
33,0
34,1
35,0
36,1
37,1
38,1
39,0
40,0
41,0
42,1
43,1
44,1
45,0
46,1
47,1
48,0
49,0
50,1
51,1
52,0
53,0
54,1
55,0
56,1
57,0
58,0
59,1
60,1
61,0
62,0
63,1
64,1
65,0
66,0
67,1
68,0
69,1
70,0
71,1
72,1
73,0
74,1
75,1
76,0
77,1
78,0
79,1
80,0
81,1
82,0
83,0
84,0
85,1
86,0
87,0
88,0
89,0
90,1
91,1
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,1
100,0
101,0
102,0
103,1
104,0
105,1
106,1
107,1
108,0
109,0
110,0
111,0
112,1
113,0
114,0
115,1
116,1
117,1
118,0
119,1
120,0
121,1
122,1
123,0
124,0
125,1
126,0
127,0
128,1
129,1
130,0
131,1
132,0
133,1
134,0
135,0
136,1
137,1
138,1
139,0
140,1
141,1
142,0
143,0
144,1
145,0
146,1
147,1
148,0
149,1
150,0
151,0
152,1
153,1
154,1
155,0
156,1
157,1
158,0
159,0
160,0
161,1
162,0
163,0
164,1
165,0
166,1
167,1
168,1
169,1
170,1
171,1
172,0
173,0
174,1
175,0
176,0
177,0
178,0
179,1
180,0
181,1
182,0
183,1
184,1
185,0
186,0
187,1
188,0
189,1
190,0
191,1
192,1
193,1
194,0
195,1
196,0
197,1
198,0
199,1
200,1
201,1
202,0
203,0
204,1
205,1
206,0
207,0
208,0
209,1
210,0
211,1
212,1
213,1
214,0
215,0
216,0
217,1
218,1
219,0
220,0
221,0
222,1
223,1
224,0
225,0
226,1
227,0
228,0
229,1
230,1
231,0
232,0
233,0
234,1
235,1
236,1
237,0
238,0
239,1
240,1
241,0
242,1
243,1
244,0
245,1
246,1
247,1
248,0
249,1
250,1
251,0
252,1
253,1
254,1
255,1
256,0
257,1
258,0
259,1
260,1
261,1
262,0
263,1
264,0
265,0
266,0
267,1
268,0
269,1
270,1
271,0
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,0
280,1
281,0
282,1
283,1
284,0
285,1
286,1
287,0
288,0
289,0
290,1
291,1
292,1
293,1
294,1
295,0
296,1
297,0
298,1
299,0
300,1
301,0
302,0
303,0
304,1
305,1
306,0
307,0
308,1
309,1
310,1
311,1
312,0
313,1
314,0
315,0
316,1
317,0
318,1
319,0
320,0
321,0
322,0
323,1
324,0
325,0
326,0
327,0
328,0
329,0
330,1
331,0
332,1
333,0
334,0
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,0
344,1
345,0
346,0
347,1
348,1
349,0
350,1
351,0
352,0
353,0
354,0
355,0
356,1
357,0
358,1
359,0
360,0
361,1
362,0
363,0
364,1
365,1
366,0
367,1
368,0
369,1
370,1
371,0
372,1
373,1
374,1
375,0
376,1
377,0
378,1
379,1
380,0
381,1
382,1
383,1
384,0
385,0
386,0
387,1
388,1
389,1
390,1
391,1
392,1
393,0
394,0
395,1
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,1
404,1
405,0
406,0
407,1
408,1
409,1
410,1
411,0
412,0
413,0
414,0
415,1
416,1
417,1
418,0
419,0
420,0
421,1
422,1
423,0
424,0
425,0
426,1
427,0
428,0
429,0
430,0
431,1
432,0
433,1
434,0
435,1
436,0
437,1
438,1
439,1
440,0
441,1
442,1
443,1
444,0
445,0
446,0
447,0
448,0
449,1
450,0
451,1
452,0
453,0
454,1
455,1
456,1
457,1
458,0
459,1
460,0
461,0
462,1
463,1
464,0
465,1
466,0
467,0
468,1
469,0
470,1
471,1
472,1
473,1
474,0
475,0
476,0
477,0
478,1
479,0
480,0
481,1
482,1
483,0
484,0
485,0
486,0
487,1
488,1
489,0
490,0
491,1
492,1
493,1
494,1
495,0
496,0
497,0
498,0
499,0
500,1
501,1
502,0
503,0
504,1
505,1
506,0
507,1
508,1
509,1
510,0
511,0
512,1
513,0
514,1
515,1
516,0
517,1
518,0
519,0
520,1
521,0
522,1
523,0
524,1
525,0
526,0
527,0
528,1
529,0
530,1
531,0
532,1
533,1
534,0
535,1
536,1
537,0
538,1
539,0
540,1
541,0
542,1
543,0
544,1
545,0
546,1
547,0
548,0
549,1
550,1
551,1
552,1
553,0
554,0
555,0
556,0
557,1
558,0
559,1
560,1
561,0
562,1
563,0
564,1
565,0
566,1
567,0
568,0
569,1
570,0
571,1
572,1
573,1
574,0
575,1
576,0
577,0
578,1
579,1
580,1
581,1
582,0
583,0
584,1
585,0
586,0
587,1
588,0
589,0
590,0
591,0
592,1
593,1
594,1
595,1
596,0
597,1
598,1
599,0
600,0
601,0
602,1
603,0
604,1
605,0
606,0
607,1
608,1
609,0
610,0
611,0
612,1
613,1
614,1
615,1
616,1
617,0
618,0
619,1
620,0
621,0
622,1
623,0
624,0
625,0
626,0
627,1
628,1
629,1
630,1
631,0
632,0
633,0
634,1
635,1
636,1
637,0
638,0
639,1
640,0
641,1
642,1
643,0
644,1
645,0
646,0
647,0
648,1
649,1
650,1
651,1
652,0
653,0
654,0
655,1
656,1
657,1
658,1
659,0
660,1
661,0
662,0
663,0
664,1
665,0
666,1
667,0
668,0
669,1
670,0
671,1
672,1
673,1
674,0
675,1
676,1
677,0
678,1
679,0
680,0
681,0
682,0
683,1
684,1
685,1
686,0
687,0
688,1
689,1
690,0
691,0
692,1
693,1
694,1
695,1
696,0
697,0
698,0
699,0
700,1
701,1
702,1
703,1
704,0
705,1
706,0
707,1
708,0
709,1
710,1
711,0
712,0
713,0
714,0
715,1
716,0
717,1
718,0
719,1
720,1
721,1
722,0
723,1
724,1
725,1
726,0
727,0
728,1
729,1
730,0
731,1
732,1
733,1
734,1
735,0
736,1
737,1
738,1
739,0
740,1
741,0
742,1
743,1
744,0
745,0
746,0
747,1
748,1
749,0
750,1
751,1
752,1
753,1
754,1
755,0
756,0
757,0
758,1
759,0
760,0
761,1
762,0
763,1
764,1
765,1
766,0
767,0
768,0
769,0
770,0
771,1
772,1
773,1
774,1
775,0
776,0
777,0
778,0
779,1
780,1
781,0
782,1
783,0
784,0
785,0
786,0
787,0
788,0
789,1
790,0
791,0
792,1
793,1
794,0
795,1
796,1
797,0
798,0
799,0
800,1
801,0
802,0
803,0
804,0
805,1
806,1
807,1
808,0
809,0
810,0
811,1
812,0
